"ID tài sản video","ID video chung","ID Trang","Tên Trang","Tiêu đề","Thời lượng (giây)","Thời gian đăng","Nhãn tùy chỉnh","Bình luận về dữ liệu",Ngày,"Số người tiếp cận","Lượt xem video trong tối thiểu 3 giây","Lượt xem video trong tối thiểu 1 phút","Số Giây xem","Số Giây xem trung bình","Số người xem trong tối thiểu 3 giây","Số người xem trong tối thiểu 1 phút","Cảm xúc, bình luận và lượt chia sẻ","Cảm xúc","Bình luận","Lượt chia sẻ"
1292669276255687,,198980770851754,"Chim Cút","Jeff Currie -Bạn có thể in tiền, nhưng không thể in ra  dầu",579,"03/19/2026 06:36",,,"Trọn đời",15653,7016,570,266294.552,16.641,6448,529,309,253,28,28
934139472665804,,198980770851754,"Chim Cút",,813,"03/19/2026 07:16",,,"Trọn đời",16269,7867,789,360162.596,21.444,7584,757,237,198,20,19
1461274122173653,,198980770851754,"Chim Cút",,23,"03/20/2026 17:45",,,"Trọn đời",12667,7945,0,166564.139,12.223,7804,0,246,184,56,6
1301687015147405,,198980770851754,"Chim Cút",,106,"03/23/2026 02:20",,,"Trọn đời",19352,9229,3061,431409.665,22.475,8859,3064,353,327,11,15
1359299205958449,,198980770851754,"Chim Cút","Đây không còn là một cú sốc dầu mỏ thông thường nữa",125,"03/23/2026 21:02",,,"Trọn đời",3418,1556,90,34651.129,7.776,1322,85,81,76,1,4
912360524919716,,198980770851754,"Chim Cút","Stagflation là gì? Khi nào kinh tế mới thật sự rơi vào lạm phát đình trệ",258,"03/24/2026 20:59",,,"Trọn đời",9145,3525,208,81018.522,8.434,3345,204,203,156,6,41
1154726326686819,,198980770851754,"Chim Cút","Lạm phát đình trệ : nó bắt đầu từ cú sốc cung, vòng xoáy lương giá và sai lầm chính sách",1447,"03/24/2026 22:00",,,"Trọn đời",7971,3077,313,164745.887,20.407,2738,283,176,138,13,25
1861119741119898,,198980770851754,"Chim Cút","Đây là giao dịch nội gián à… hay chỉ là vài nhà đầu tư “đoán mò” quá đúng?",262,"03/25/2026 06:17",,,"Trọn đời",164745,87769,12752,3544934.534,22.998,86407,12584,2508,2167,129,212
1868505770498387,,198980770851754,"Chim Cút","Larry Fink: Vấn đề không phải chiến tranh kéo dài bao lâu, mà là nó kết thúc như thế nào",213,"03/28/2026 02:02",,,"Trọn đời",5684,2650,180,66416.503,9.842,2450,176,177,140,26,11
26909281045343192,,198980770851754,"Chim Cút","Cú sốc dầu khí ở châu Á: Điều đáng sợ nhất không phải giá cao, mà là thời gian kéo dài",300,"03/28/2026 03:00",,,"Trọn đời",6264,2205,155,56801.527,8.994,2124,153,103,91,4,8
1615737079675668,,198980770851754,"Chim Cút","Từ eo biển Hormuz đến bữa cơm hằng ngày: cú sốc tiếp theo có thể là giá lương thực",572,"03/28/2026 04:00",,,"Trọn đời",5132,2343,110,57319.532,9.362,2074,107,118,107,4,7
1397867172113685,,198980770851754,"Chim Cút",,44,"04/02/2026 18:42",,,"Trọn đời",8121,4672,0,91519.792,11.553,4469,0,244,213,29,2
1932781497339799,,198980770851754,"Chim Cút","Eo biển Hormuz không chỉ là cú sốc giá dầu — đây có thể là một cuộc khủng hoảng năng lượng của châu Á",329,"04/02/2026 21:30",,,"Trọn đời",8692,3415,267,92578.923,10.812,3154,260,192,174,5,13
1513554750329605,,198980770851754,"Chim Cút",,55,"04/10/2026 04:01",,,"Trọn đời",71822,37821,0,1192789.474,16.521,37070,0,1100,967,44,89
