"ID tài sản video","ID video chung","ID Trang","Tên Trang","Tiêu đề","Thời lượng (giây)","Thời gian đăng","Nhãn tùy chỉnh","Bình luận về dữ liệu",Ngày,"Số người tiếp cận","Lượt xem video trong tối thiểu 3 giây","Số Giây xem","Số Giây xem trung bình","Lượt xem video trong tối thiểu 3 giây từ Bài viết đã quảng cáo","Lượt xem video trong tối thiểu 3 giây từ Bài viết tự nhiên","Cảm xúc, bình luận và lượt chia sẻ","Cảm xúc","Bình luận","Lượt chia sẻ","Lượt xem video trong tối thiểu 1 phút","Số người xem trong tối thiểu 3 giây","Số người xem trong tối thiểu 1 phút"
1040007081731732,,198980770851754,"Chim Cút",,804,"06/21/2026 00:54",,,07/01/2026,31,27,402.96,4.527,0,27,1,1,0,0,0,27,0
1040007081731732,,198980770851754,"Chim Cút",,804,"06/21/2026 00:54",,,07/02/2026,38,32,544.595,6.119,0,32,0,0,0,0,0,32,0
1040007081731732,,198980770851754,"Chim Cút",,804,"06/21/2026 00:54",,,07/03/2026,111,41,815.66,4.556,0,41,0,0,0,0,2,39,2
1040007081731732,,198980770851754,"Chim Cút",,804,"06/21/2026 00:54",,,07/04/2026,50,27,584.986,5.223,0,27,0,0,0,0,1,27,1
1040007081731732,,198980770851754,"Chim Cút",,804,"06/21/2026 00:54",,,07/05/2026,33,16,317,3.819,0,16,0,0,0,0,0,16,0
1040007081731732,,198980770851754,"Chim Cút",,804,"06/21/2026 00:54",,,07/06/2026,28,21,472.042,5.075,0,21,0,0,0,0,3,21,3
1040007081731732,,198980770851754,"Chim Cút",,804,"06/21/2026 00:54",,,07/07/2026,32,25,890.997,8.405,0,25,0,0,0,0,3,23,2
1040007081731732,,198980770851754,"Chim Cút",,804,"06/21/2026 00:54",,,07/08/2026,37,29,459.764,4.739,0,29,0,0,0,0,1,27,1
1726643688340706,,198980770851754,"Chim Cút",,486,"06/12/2026 02:00",,,07/01/2026,7,1,29.933,2.993,0,1,0,0,0,0,0,1,0
1726643688340706,,198980770851754,"Chim Cút",,486,"06/12/2026 02:00",,,07/02/2026,5,2,15.273,1.909,0,2,0,0,0,0,0,2,0
1726643688340706,,198980770851754,"Chim Cút",,486,"06/12/2026 02:00",,,07/03/2026,13,8,154.854,9.678,0,8,1,1,0,0,1,8,1
1726643688340706,,198980770851754,"Chim Cút",,486,"06/12/2026 02:00",,,07/04/2026,9,3,61.372,6.137,0,3,0,0,0,0,0,3,0
1726643688340706,,198980770851754,"Chim Cút",,486,"06/12/2026 02:00",,,07/05/2026,8,2,369.508,41.056,0,2,1,1,0,0,1,2,1
1726643688340706,,198980770851754,"Chim Cút",,486,"06/12/2026 02:00",,,07/06/2026,4,4,277.951,46.325,0,4,0,0,0,0,0,4,0
1726643688340706,,198980770851754,"Chim Cút",,486,"06/12/2026 02:00",,,07/07/2026,8,5,1111.087,111.108,0,5,0,0,0,0,3,5,3
1726643688340706,,198980770851754,"Chim Cút",,486,"06/12/2026 02:00",,,07/08/2026,4,1,17.406,1.74,0,1,0,0,0,0,0,1,0
975845435069297,,198980770851754,"Chim Cút",,352,"07/05/2026 02:30",,,07/01/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
975845435069297,,198980770851754,"Chim Cút",,352,"07/05/2026 02:30",,,07/02/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
975845435069297,,198980770851754,"Chim Cút",,352,"07/05/2026 02:30",,,07/03/2026,0,0,1.649,1.649,0,0,0,0,0,0,0,0,0
975845435069297,,198980770851754,"Chim Cút",,352,"07/05/2026 02:30",,,07/04/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
975845435069297,,198980770851754,"Chim Cút",,352,"07/05/2026 02:30",,,07/05/2026,1515,733,21920.404,15.623,0,733,19,18,0,1,75,738,75
975845435069297,,198980770851754,"Chim Cút",,352,"07/05/2026 02:30",,,07/06/2026,363,149,4991.569,13.527,0,149,9,9,0,0,21,148,20
975845435069297,,198980770851754,"Chim Cút",,352,"07/05/2026 02:30",,,07/07/2026,141,63,1854.613,9.659,0,63,1,1,0,0,8,62,8
