"ID tài sản video","ID video chung","ID Trang","Tên Trang","Tiêu đề","Thời lượng (giây)","Thời gian đăng","Nhãn tùy chỉnh","Bình luận về dữ liệu",Ngày,"Số người tiếp cận","Lượt xem video trong tối thiểu 3 giây","Lượt xem video trong tối thiểu 1 phút","Số Giây xem","Số Giây xem trung bình","Số người xem trong tối thiểu 3 giây","Số người xem trong tối thiểu 1 phút","Cảm xúc, bình luận và lượt chia sẻ","Cảm xúc","Bình luận","Lượt chia sẻ"
2072923824108106,,198980770851754,"Chim Cút",,923,"06/29/2026 06:00",,,"Trọn đời",1196,364,14,20127.417,17.686,343,12,23,20,0,3
2090147175046117,,198980770851754,"Chim Cút",,592,"07/05/2026 07:30",,,"Trọn đời",2222,802,54,21116.458,9.024,767,53,56,49,1,6
1669801484232581,,198980770851754,"Chim Cút",,587,"07/05/2026 06:00",,,"Trọn đời",386,48,1,1146.993,4.008,48,1,6,5,0,1
975845435069297,,198980770851754,"Chim Cút",,352,"07/05/2026 02:30",,,"Trọn đời",2089,959,105,29043.565,14.154,959,104,29,28,0,1
861776889810547,,198980770851754,"Chim Cút",,477,"07/04/2026 22:30",,,"Trọn đời",1209,227,18,6777.888,5.833,210,18,18,13,0,5
1478720366808342,,198980770851754,"Chim Cút",,800,"07/04/2026 07:30",,,"Trọn đời",2018,717,70,38278.758,19.95,693,68,49,38,0,11
1404941771445075,,198980770851754,"Chim Cút",,832,"07/04/2026 06:00",,,"Trọn đời",2267,850,72,29605.169,13.39,825,70,63,51,1,11
1728256645201927,,198980770851754,"Chim Cút",,322,"07/04/2026 02:30",,,"Trọn đời",1328,429,30,13363.331,10.356,414,29,22,18,0,4
1350230670347775,,198980770851754,"Chim Cút",,342,"07/03/2026 22:30",,,"Trọn đời",1820,568,32,17207.749,9.771,559,31,42,33,3,6
1336374131348732,,198980770851754,"Chim Cút",,1061,"07/03/2026 07:30",,,"Trọn đời",2193,838,60,23166.58,10.916,826,59,48,42,2,4
2824801641198017,,198980770851754,"Chim Cút",,566,"07/03/2026 06:00",,,"Trọn đời",2933,1104,217,64794.606,22.137,1043,215,91,74,1,16
2545934349198364,,198980770851754,"Chim Cút",,684,"07/02/2026 07:30",,,"Trọn đời",1739,528,36,17885.514,10.404,509,36,23,22,0,1
2008216883111119,,198980770851754,"Chim Cút",,895,"07/02/2026 06:00",,,"Trọn đời",2225,885,82,26579.976,12.443,867,82,45,40,0,5
1236869005050728,,198980770851754,"Chim Cút",,680,"07/01/2026 07:30",,,"Trọn đời",2001,524,42,17282.85,9.316,513,42,30,24,1,5
4678254575768478,,198980770851754,"Chim Cút",,922,"07/01/2026 06:00",,,"Trọn đời",2107,641,51,24501.671,12.111,620,50,32,28,0,4
839424458948195,,198980770851754,"Chim Cút",,928,"06/30/2026 07:30",,,"Trọn đời",1610,480,28,17651.506,11.666,480,28,21,18,0,3
1314228760836281,,198980770851754,"Chim Cút",,731,"06/30/2026 06:00",,,"Trọn đời",2190,663,38,18595.114,8.952,663,38,46,40,0,6
1616608142771066,,198980770851754,"Chim Cút",,680,"06/29/2026 07:30",,,"Trọn đời",2237,825,32,16209.517,7.432,764,30,55,36,6,13
