date,bar_sell,ring_sell,diff_vnd,diff_pct,year
2016-01-05,32890000,30400000,2490000,8.19078947368421,2016
2016-01-06,32890000,30450000,2440000,8.013136288998359,2016
2016-01-07,33020000,30630000,2390000,7.802807704864511,2016
2016-01-08,33080000,30650000,2430000,7.928221859706362,2016
2016-01-09,33140000,30700000,2440000,7.947882736156352,2016
2016-01-11,33150000,30800000,2350000,7.629870129870129,2016
2016-01-12,33060000,30730000,2330000,7.582167263260657,2016
2016-01-13,32880000,30510000,2370000,7.767944936086529,2016
2016-01-14,32920000,30550000,2370000,7.757774140752864,2016
2016-01-15,32870000,30390000,2480000,8.1605791378743,2016
2016-01-16,32920000,30490000,2430000,7.969826172515579,2016
2016-01-18,32830000,30530000,2300000,7.533573534228627,2016
2016-01-19,32850000,30530000,2320000,7.5990828693088766,2016
2016-01-20,32840000,30580000,2260000,7.390451275343361,2016
2016-01-21,32900000,30660000,2240000,7.30593607305936,2016
2016-01-22,32860000,30600000,2260000,7.38562091503268,2016
2016-01-23,32910000,30650000,2260000,7.373572593800978,2016
2016-01-25,32860000,30700000,2160000,7.035830618892508,2016
2016-01-26,32920000,30840000,2080000,6.744487678339818,2016
2016-01-27,32950000,30870000,2080000,6.737933268545514,2016
2016-01-28,32950000,30870000,2080000,6.737933268545514,2016
2016-01-29,32890000,30710000,2180000,7.098664929990231,2016
2016-01-30,32920000,30750000,2170000,7.056910569105692,2016
2016-02-01,32940000,30980000,1960000,6.326662362814719,2016
2016-02-02,33000000,31120000,1880000,6.041131105398458,2016
2016-02-03,33070000,31250000,1820000,5.824,2016
2016-02-04,33250000,31580000,1670000,5.288157061431285,2016
2016-02-05,33380000,31900000,1480000,4.639498432601881,2016
2016-02-12,34400000,33800000,600000,1.7751479289940828,2016
2016-02-15,33730000,33000000,730000,2.212121212121212,2016
2016-02-16,33800000,33050000,750000,2.26928895612708,2016
2016-02-17,33550000,32900000,650000,1.9756838905775076,2016
2016-02-18,33450000,32850000,600000,1.82648401826484,2016
2016-02-19,33630000,33050000,580000,1.7549167927382754,2016
2016-02-20,33650000,33100000,550000,1.6616314199395772,2016
2016-02-22,33420000,32800000,620000,1.8902439024390243,2016
2016-02-23,33520000,32980000,540000,1.637355973317162,2016
2016-02-24,33660000,33200000,460000,1.3855421686746987,2016
2016-02-25,33700000,33370000,330000,0.988912196583758,2016
2016-02-26,33600000,33350000,250000,0.7496251874062968,2016
2016-02-27,33500000,33100000,400000,1.2084592145015105,2016
2016-02-29,33590000,33190000,400000,1.2051822838204278,2016
2016-03-01,33670000,33400000,270000,0.8083832335329342,2016
2016-03-02,33540000,33150000,390000,1.1764705882352942,2016
2016-03-03,33610000,33400000,210000,0.6287425149700598,2016
2016-03-04,34070000,33880000,190000,0.5608028335301062,2016
2016-03-05,34030000,33800000,230000,0.680473372781065,2016
2016-03-07,34050000,33990000,60000,0.176522506619594,2016
2016-03-08,34150000,34130000,20000,0.05859947260474656,2016
2016-03-09,33930000,33840000,90000,0.26595744680851063,2016
2016-03-10,33800000,33700000,100000,0.2967359050445104,2016
2016-03-11,34030000,33850000,180000,0.5317577548005908,2016
2016-03-12,33920000,33650000,270000,0.8023774145616641,2016
2016-03-14,33960000,33880000,80000,0.23612750885478156,2016
2016-03-15,33780000,33550000,230000,0.6855439642324889,2016
2016-03-16,33700000,33470000,230000,0.6871825515386913,2016
2016-03-17,33850000,33910000,-60000,-0.17693895606015925,2016
2016-03-18,33870000,33710000,160000,0.47463660634826466,2016
2016-03-19,33880000,33760000,120000,0.35545023696682465,2016
2016-03-21,33720000,33650000,70000,0.20802377414561665,2016
2016-03-22,33750000,33690000,60000,0.17809439002671415,2016
2016-03-23,33640000,33560000,80000,0.23837902264600713,2016
2016-03-24,33400000,33170000,230000,0.6933976484775399,2016
2016-03-25,33400000,33200000,200000,0.6024096385542169,2016
2016-03-28,33290000,33050000,240000,0.7261724659606656,2016
2016-03-29,33260000,33050000,210000,0.6354009077155824,2016
2016-03-30,33360000,33260000,100000,0.30066145520144316,2016
2016-03-31,33340000,33200000,140000,0.42168674698795183,2016
2016-04-01,33330000,33210000,120000,0.36133694670280037,2016
2016-04-02,33270000,33070000,200000,0.6047777441790142,2016
2016-04-04,33240000,33040000,200000,0.6053268765133172,2016
2016-04-05,33280000,33200000,80000,0.24096385542168677,2016
2016-04-06,33230000,33200000,30000,0.09036144578313253,2016
2016-04-07,33330000,33280000,50000,0.15024038461538464,2016
2016-04-08,33250000,33280000,-30000,-0.09014423076923077,2016
2016-04-09,33280000,33280000,0,0.0,2016
2016-04-11,33430000,33430000,0,0.0,2016
2016-04-12,33620000,33480000,140000,0.4181600955794504,2016
2016-04-13,33450000,33530000,-80000,-0.23859230539815093,2016
2016-04-15,33300000,33280000,20000,0.06009615384615385,2016
2016-04-18,33400000,33400000,0,0.0,2016
2016-04-19,33340000,33400000,-60000,-0.17964071856287425,2016
2016-04-20,33430000,33470000,-40000,-0.11951000896325066,2016
2016-04-21,33520000,33520000,0,0.0,2016
2016-04-22,33430000,33500000,-70000,-0.208955223880597,2016
2016-04-23,33370000,33380000,-10000,-0.029958058717795086,2016
2016-04-25,33320000,33400000,-80000,-0.23952095808383234,2016
2016-04-26,33300000,33400000,-100000,-0.29940119760479045,2016
2016-04-27,33340000,33460000,-120000,-0.35863717872086076,2016
