year,vol_annualized_pct,max_drawdown_pct,start_sell_m,end_sell_m,annual_return_pct
2009,20.2,-8.6,21.1,26.7,26.6
2010,11.8,-8.1,26.7,36.0,34.8
2011,15.7,-13.7,36.1,41.8,15.7
2012,11.6,-9.7,43.5,46.3,6.4
2013,14.3,-25.6,46.7,34.8,-25.6
2014,5.3,-5.8,35.0,35.1,0.3
2015,6.5,-8.7,35.1,32.7,-7.0
2016,13.0,-10.6,32.9,36.1,9.7
2017,4.6,-4.0,36.4,36.4,0.1
2018,3.0,-2.1,36.7,36.6,-0.3
2019,7.9,-3.7,36.7,42.8,16.6
2020,14.4,-13.7,42.6,56.1,31.6
2021,5.8,-5.0,56.1,61.6,9.8
2022,12.9,-12.9,61.6,66.7,8.3
2023,7.0,-6.9,67.1,74.0,10.3
2024,14.1,-16.7,75.0,84.2,12.3
2025,15.9,-5.5,85.0,152.8,79.8
2026,24.5,-27.6,157.1,149.5,-4.8
