period,report_period,ticker,Sales,Sales deductions,Net sales,Cost of sales,Gross Profit,Financial income,Financial expenses,Interest expenses,Selling expenses,General and admin expenses,Operating profit/(loss),Other incomes,Other expenses,Net other income/(expenses),Income from investments in other entities,Net accounting profit/(loss) before tax,Business income tax - current,Business income tax - deferred,Corporate income tax expenses,Net profit/(loss) after tax,Minority interests,Attributable to parent company,EPS basic (VND),EPS diluted (VND),Gain/(loss) from joint ventures (from 2015)
2018,year,PNJ,14678799605798.0,-107663860948.0,14571135744850.0,-11792052183391.0,2779083561459.0,6846027091.0,-66345864211.0,-61109039390.0,-1170069069426.0,-345868153940.0,1203646500973.0,4637809502.0,-2734037354.0,1903772148.0,0.0,1205550273121.0,-249485408708.0,3858482734.0,-245626925974.0,959923347147.0,0.0,959923347147.0,6481.0,0.0,0.0
2019,year,PNJ,17144251446632.0,-143570366109.0,17000681080523.0,-13539967588262.0,3460713492261.0,16820020734.0,-133678118497.0,-115367610418.0,-1361807553507.0,-475831697930.0,1506216143061.0,4760923089.0,-4264680599.0,496242490.0,0.0,1506712385551.0,-315667183537.0,2879755229.0,-312787428308.0,1193924957243.0,0.0,1193924957243.0,4896.0,4896.0,0.0
2020,year,PNJ,17681913026177.0,-171124375178.0,17510788650999.0,-14076055770112.0,3434732880887.0,2368958316.0,-161541087492.0,-154416694276.0,-1420855653447.0,-505572794605.0,1349132303659.0,5485848150.0,-8637683094.0,-3151834944.0,0.0,1345980468715.0,-279422477414.0,2752113960.0,-276670363454.0,1069310105261.0,0.0,1069310105261.0,4308.0,4308.0,0.0
2021,year,PNJ,19735646137250.0,-188587772416.0,19547058364834.0,-15948760134458.0,3598298230376.0,16326114795.0,-118252734395.0,-104380274160.0,-1687654952494.0,-501819303928.0,1306897354354.0,8861354013.0,-36528186336.0,-27666832323.0,0.0,1279230522031.0,-259673455974.0,9485099588.0,-250188356386.0,1029042165645.0,0.0,1029042165645.0,4197.0,4197.0,0.0
2022,year,PNJ,34211128942240.0,-334674383087.0,33876454559153.0,-27949348024381.0,5927106534772.0,54036974170.0,-141471203463.0,-94143431408.0,-2828208644376.0,-673996996684.0,2337466664419.0,8582642521.0,-33721752227.0,-25139109706.0,0.0,2312327554713.0,-521061271124.0,19425559808.0,-501635711316.0,1810691843397.0,0.0,1810691843397.0,5350.0,0.0,0.0
2023,year,PNJ,33481608954953.0,-344679758524.0,33136929196429.0,-27078338249235.0,6058590947194.0,97825547538.0,-142580680640.0,-118568804103.0,-2835769469802.0,-693934934718.0,2484131409572.0,11846230257.0,-7217637455.0,4628592802.0,0.0,2488760002374.0,-517592806160.0,-68019079.0,-517660825239.0,1971099177135.0,0.0,1971099177135.0,5436.0,5436.0,0.0
2024,year,PNJ,38232401184050.0,-409564012665.0,37822837171385.0,-31149334531193.0,6673502640192.0,75567438524.0,-93616780951.0,-46775305829.0,-3207574691174.0,-795749355922.0,2652129250669.0,10013781125.0,-11130582486.0,-1116801361.0,0.0,2651012449308.0,-615476890636.0,77380724274.0,-538096166362.0,2112916282946.0,0.0,2112916282946.0,5713.0,5713.0,0.0
2025,year,PNJ,35410589612616.0,-434546683224.0,34976042929392.0,-27292194621378.0,7683848308014.0,136303226388.0,-153168770819.0,-119082599327.0,-3322701974507.0,-824395851865.0,3519884937211.0,41188910080.0,-13234356500.0,27954553580.0,0.0,3547839490791.0,-849656975908.0,130314948007.0,-719342027901.0,2828497462890.0,0.0,2828497462890.0,7652.0,7652.0,0.0
2018-Q1,quarter,PNJ,4166588283379.0,-27135169850.0,4139453113529.0,-3369430601006.0,770022512523.0,5994175297.0,-13983492084.0,-13553130698.0,-281595451271.0,-60606184051.0,419831560414.0,1057572840.0,-134618904.0,922953936.0,0.0,420754514350.0,-84494253916.0,0.0,-84494253916.0,336260260434.0,0.0,336260260434.0,3111.0,0.0,0.0
2018-Q2,quarter,PNJ,3238175968274.0,-20736205018.0,3217439763256.0,-2634537690306.0,582902072950.0,188751093.0,-13733866715.0,-11225839714.0,-268913495241.0,-73696045394.0,226747416693.0,1263333256.0,-476223461.0,787109795.0,0.0,227534526488.0,-47098259383.0,0.0,-47098259383.0,180436267105.0,0.0,180436267105.0,-148.0,0.0,0.0
2018-Q3,quarter,PNJ,3178369955454.0,-27520745080.0,3150849210374.0,-2550829399062.0,600019811312.0,145838562.0,-17407413734.0,-15315285497.0,-268067364057.0,-93015229413.0,221675642670.0,393502391.0,-929846746.0,-536344355.0,0.0,221139298315.0,-43451417366.0,0.0,-43451417366.0,177687880949.0,0.0,177687880949.0,1096.0,0.0,0.0
