req_id,clean_control_status,method
REQ-001,pass,command
REQ-002,pass,command
REQ-003,pass,artifact_check
REQ-004,pass,artifact_check
REQ-005,pass,artifact_check
REQ-006,pass,artifact_check
REQ-007,pass,command
REQ-008,pass,artifact_check
REQ-009,pass,section_map_check
REQ-010,pass,command
REQ-011,pass,canvas_check
REQ-012,pass,count_check
REQ-013,pass,content_depth_check
REQ-014,pass,section_content_check
REQ-015,pass,artifact_check
REQ-016,pass,valuation_sanity_check
REQ-017,pass,artifact_check
REQ-018,pass,command
REQ-019,pass,command
REQ-020,pass,div_balance_check
REQ-022,pass,data_accuracy_check
REQ-023,pass,data_accuracy_check
REQ-024,pass,capex_accuracy_check
REQ-025,pass,valuation_recompute_check
REQ-026,pass,chart_data_accuracy_check
REQ-027,pass,external_claim_flag_check
REQ-028,fail,chart_runtime_check
