url_month,url,date,cpi_yoy_pct,cpi_mom_pct
2019-11,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2019/11/chi-so-gia-tieu-dung-chi-so-gia-vang-va-chi-so-gia-do-la-my-6-nam-2019/,2019-11,5.4,-0.09
2019-12,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2019/12/chi-so-gia-tieu-dung-chi-so-gia-vang-va-chi-so-gia-do-la-my-thang-8-nam-2006/,2019-12,,0.4
2020-01,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2020/01/chi-so-gia-tieu-dung-chi-so-gia-vang-va-chi-so-gia-do-la-my-thang-5-nam-2014/,2020-01,,0.2
2020-02,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2020/02/chi-so-gia-tieu-dung-chi-so-gia-vang-va-chi-so-gia-do-la-my-thang-02-nam-2020/,2020-02,1.06,-0.17
2020-03,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2020/03/chi-so-gia-tieu-dung-chi-so-gia-vang-va-chi-so-gia-do-la-my-thang-03-nam-2020/,2020-03,,-0.72
2020-04,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2020/04/chi-so-gia-tieu-dung-chi-so-gia-vang-va-chi-so-gia-do-la-my-thang-4-nam-2020/,2020-04,1.21,-1.54
2020-05,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2020/05/chi-so-gia-tieu-dung-chi-so-gia-vang-va-chi-so-gia-do-la-my-thang-5-nam-2020/,2020-05,1.24,-0.03
2020-06,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2020/06/chi-so-gia-tieu-dung-chi-so-gia-vang-va-chi-so-gia-do-la-my-thang-6-nam-2020/,2020-06,0.59,0.66
2020-07,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2020/07/chi-so-gia-tieu-dung-chi-so-gia-vang-va-chi-so-gia-do-la-my-thang-7-nam-2020/,2020-07,4.07,0.4
2020-08,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2020/08/chi-so-gia-tieu-dung-chi-so-gia-vang-va-chi-so-gia-do-la-my-thang-8-nam-2020/,2020-08,3.96,0.07
2020-09,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2020/09/chi-so-gia-tieu-dung-chi-so-gia-vang-va-chi-so-gia-do-la-my-thang-9-nam-2020/,2020-09,3.85,0.12
2020-10,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2020/10/chi-so-gia-tieu-dung-chi-so-gia-vang-va-chi-so-gia-do-la-my-thang-10-nam-2020/,2020-10,3.71,0.09
2020-11,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2020/11/chi-so-gia-tieu-dung-chi-so-gia-vang-va-chi-so-gia-do-la-my-thang-11-nam-2020/,2020-11,3.51,0.03
