period,value,series,source_code
1992-11-01,26.82,lending_rate,M.VN.FILR_PA
1992-12-01,37.67,lending_rate,M.VN.FILR_PA
1993-01-01,37.67,lending_rate,M.VN.FILR_PA
1993-02-01,37.67,lending_rate,M.VN.FILR_PA
1993-03-01,37.67,lending_rate,M.VN.FILR_PA
1993-04-01,31.37,lending_rate,M.VN.FILR_PA
1993-05-01,31.37,lending_rate,M.VN.FILR_PA
1993-06-01,31.37,lending_rate,M.VN.FILR_PA
1993-07-01,31.37,lending_rate,M.VN.FILR_PA
1993-08-01,31.37,lending_rate,M.VN.FILR_PA
1993-09-01,31.37,lending_rate,M.VN.FILR_PA
1993-10-01,28.32,lending_rate,M.VN.FILR_PA
1993-11-01,28.32,lending_rate,M.VN.FILR_PA
1993-12-01,28.32,lending_rate,M.VN.FILR_PA
1996-01-01,21.0,lending_rate,M.VN.FILR_PA
1996-02-01,21.0,lending_rate,M.VN.FILR_PA
1996-03-01,21.0,lending_rate,M.VN.FILR_PA
1996-04-01,21.0,lending_rate,M.VN.FILR_PA
1996-05-01,21.0,lending_rate,M.VN.FILR_PA
1996-06-01,21.0,lending_rate,M.VN.FILR_PA
1996-07-01,18.9,lending_rate,M.VN.FILR_PA
1996-08-01,19.8,lending_rate,M.VN.FILR_PA
1996-09-01,19.8,lending_rate,M.VN.FILR_PA
1996-10-01,18.9,lending_rate,M.VN.FILR_PA
1996-11-01,18.9,lending_rate,M.VN.FILR_PA
1996-12-01,18.9,lending_rate,M.VN.FILR_PA
1997-01-01,15.0,lending_rate,M.VN.FILR_PA
1997-02-01,14.0,lending_rate,M.VN.FILR_PA
1997-03-01,15.0,lending_rate,M.VN.FILR_PA
1997-04-01,15.0,lending_rate,M.VN.FILR_PA
1997-05-01,15.0,lending_rate,M.VN.FILR_PA
1997-06-01,15.0,lending_rate,M.VN.FILR_PA
1997-07-01,15.0,lending_rate,M.VN.FILR_PA
1997-08-01,15.0,lending_rate,M.VN.FILR_PA
1997-09-01,13.5,lending_rate,M.VN.FILR_PA
1997-10-01,13.5,lending_rate,M.VN.FILR_PA
1997-11-01,13.5,lending_rate,M.VN.FILR_PA
1997-12-01,13.5,lending_rate,M.VN.FILR_PA
1998-01-01,14.4,lending_rate,M.VN.FILR_PA
1998-02-01,14.4,lending_rate,M.VN.FILR_PA
1998-03-01,14.4,lending_rate,M.VN.FILR_PA
1998-04-01,14.4,lending_rate,M.VN.FILR_PA
1998-05-01,14.4,lending_rate,M.VN.FILR_PA
1998-06-01,14.4,lending_rate,M.VN.FILR_PA
1998-07-01,14.4,lending_rate,M.VN.FILR_PA
1998-08-01,14.4,lending_rate,M.VN.FILR_PA
1998-09-01,14.4,lending_rate,M.VN.FILR_PA
1998-10-01,14.4,lending_rate,M.VN.FILR_PA
1998-11-01,14.4,lending_rate,M.VN.FILR_PA
1998-12-01,14.4,lending_rate,M.VN.FILR_PA
1999-01-01,13.2,lending_rate,M.VN.FILR_PA
1999-02-01,13.2,lending_rate,M.VN.FILR_PA
1999-03-01,13.2,lending_rate,M.VN.FILR_PA
1999-04-01,13.2,lending_rate,M.VN.FILR_PA
1999-05-01,13.2,lending_rate,M.VN.FILR_PA
1999-06-01,13.2,lending_rate,M.VN.FILR_PA
1999-07-01,13.2,lending_rate,M.VN.FILR_PA
1999-08-01,12.0,lending_rate,M.VN.FILR_PA
1999-09-01,12.0,lending_rate,M.VN.FILR_PA
1999-10-01,12.0,lending_rate,M.VN.FILR_PA
1999-11-01,12.0,lending_rate,M.VN.FILR_PA
1999-12-01,12.0,lending_rate,M.VN.FILR_PA
2000-01-01,10.8,lending_rate,M.VN.FILR_PA
2000-02-01,10.8,lending_rate,M.VN.FILR_PA
2000-03-01,10.8,lending_rate,M.VN.FILR_PA
2000-04-01,10.8,lending_rate,M.VN.FILR_PA
2000-05-01,10.8,lending_rate,M.VN.FILR_PA
2000-06-01,10.8,lending_rate,M.VN.FILR_PA
2000-07-01,10.8,lending_rate,M.VN.FILR_PA
2000-08-01,10.2,lending_rate,M.VN.FILR_PA
2000-09-01,10.2,lending_rate,M.VN.FILR_PA
2000-10-01,10.2,lending_rate,M.VN.FILR_PA
2000-11-01,10.2,lending_rate,M.VN.FILR_PA
2000-12-01,10.2,lending_rate,M.VN.FILR_PA
2001-01-01,10.65,lending_rate,M.VN.FILR_PA
2001-02-01,10.8,lending_rate,M.VN.FILR_PA
2001-03-01,10.5,lending_rate,M.VN.FILR_PA
2001-04-01,9.45,lending_rate,M.VN.FILR_PA
2001-05-01,9.6,lending_rate,M.VN.FILR_PA
2001-06-01,9.0,lending_rate,M.VN.FILR_PA
2001-07-01,9.0,lending_rate,M.VN.FILR_PA
2001-08-01,9.0,lending_rate,M.VN.FILR_PA
2001-09-01,9.0,lending_rate,M.VN.FILR_PA
2001-10-01,9.0,lending_rate,M.VN.FILR_PA
2001-11-01,8.52,lending_rate,M.VN.FILR_PA
2001-12-01,8.52,lending_rate,M.VN.FILR_PA
2002-01-01,8.55,lending_rate,M.VN.FILR_PA
2002-02-01,8.5,lending_rate,M.VN.FILR_PA
2002-03-01,8.5,lending_rate,M.VN.FILR_PA
2002-04-01,8.46,lending_rate,M.VN.FILR_PA
2002-05-01,8.46,lending_rate,M.VN.FILR_PA
2002-06-01,9.33,lending_rate,M.VN.FILR_PA
2002-07-01,9.54,lending_rate,M.VN.FILR_PA
2002-08-01,9.48,lending_rate,M.VN.FILR_PA
2002-09-01,9.48,lending_rate,M.VN.FILR_PA
2002-10-01,9.48,lending_rate,M.VN.FILR_PA
2002-11-01,9.48,lending_rate,M.VN.FILR_PA
2002-12-01,9.48,lending_rate,M.VN.FILR_PA
2003-01-01,9.48,lending_rate,M.VN.FILR_PA
2003-02-01,9.3,lending_rate,M.VN.FILR_PA
2003-03-01,9.46,lending_rate,M.VN.FILR_PA
2003-04-01,9.42,lending_rate,M.VN.FILR_PA
2003-05-01,9.46,lending_rate,M.VN.FILR_PA
2003-06-01,9.46,lending_rate,M.VN.FILR_PA
2003-07-01,9.53,lending_rate,M.VN.FILR_PA
2003-08-01,9.53,lending_rate,M.VN.FILR_PA
2003-09-01,9.57,lending_rate,M.VN.FILR_PA
2003-10-01,9.47,lending_rate,M.VN.FILR_PA
2003-11-01,9.54,lending_rate,M.VN.FILR_PA
2003-12-01,9.54,lending_rate,M.VN.FILR_PA
2004-01-01,9.54,lending_rate,M.VN.FILR_PA
2004-02-01,9.54,lending_rate,M.VN.FILR_PA
2004-03-01,9.54,lending_rate,M.VN.FILR_PA
