filename,week_from,week_to,interbank_on_pct,interbank_1w_pct,raw_on_context
29062026-03072026_BAO_CAO_TUAN_TTTP-2.pdf,29062026,03072026,5.67,,ong khi lãi suất qua đêm ON tăng 276 đcb lên mức 5.67%
22062026-26062026_BAO_CAO_TUAN_TTTP.pdf,22062026,26062026,2.91,,ong khi lãi suất qua đêm ON giảm 150 đcb xuống mức 2.91%
15062026-19062026_BAO_CAO_TUAN_TTTP2.pdf,15062026,19062026,4.41,,ong khi lãi suất qua đêm ON tăng 90 đcb lên mức 4.41%
08062026-12062026_BAO_CAO_TUAN_TTTP1.pdf,08062026,12062026,3.51,,ong khi lãi suất qua đêm ON giảm 262 đcb xuống mức 3.51%
01062026-05062026_BAO_CAO_TUAN_TTTP.pdf,01062026,05062026,6.13,,ong khi lãi suất qua đêm ON giảm 84 đcb xuống mức 6.13%
25052026-29052026_BAO_CAO_TUAN_TTTP.pdf,25052026,29052026,6.97,,ong khi lãi suất qua đêm ON tăng 40 đcb lên mức 6.97%
18052026-22052026_BAO_CAO_TUAN_TTTP.pdf,18052026,22052026,6.57,,ong khi lãi suất qua đêm ON tăng 132 đcb lên mức 6.57%
11052026-15052026__BAO_CAO_TUAN_TTTP1.pdf,11052026,15052026,5.25,,ong khi lãi suất qua đêm ON tăng 26 đcb lên mức 5.25%
28042026-08052026__BAO_CAO_TUAN_TTTP8.pdf,28042026,08052026,4.99,,ong khi lãi suất qua đêm ON tăng 111 đcb lên mức 4.99%
20042026-24042026__BAO_CAO_TUAN_TTTP.pdf,20042026,24042026,4.38,,ong khi lãi suất qua đêm ON tăng 40 đcb lên mức 4.38%
13042026-17042026_BAO_CAO_TUAN_TTTP4.pdf,13042026,17042026,3.98,,ong khi lãi suất qua đêm ON giảm 196 đcb xuống mức 3.98%
06042026-10042026__BAO_CAO_TUAN_TTTP.pdf,06042026,10042026,5.94,,ON giảm 35 đcb xuống mức 5.94%
