month,d10y_bps,vnindex_ret_pct,d2y_bps,net_advance_share
2014-07,-28.05,3.06,,
2014-08,-40.39,6.59,,
2014-09,-132.15,-6.13,,
2014-10,-28.43,0.34,,
2014-11,57.77,-5.87,,
2014-12,30.43,-3.77,,
2015-01,-45.98,5.43,,
2015-02,-22.25,2.82,,
2015-03,-3.56,-7.25,,
2015-04,11.72,2.02,,
2015-05,24.15,1.27,,
2015-06,26.0,4.04,,
2015-07,-12.69,4.61,,
2015-08,26.48,-9.5,,
2015-09,8.82,-0.37,,
2015-10,-1.01,7.65,,
2015-11,-14.34,-5.79,,
2015-12,3.31,1.01,,
2016-01,11.9,-6.01,,
2016-02,-25.73,2.56,,
2016-03,4.39,0.33,,
2016-04,-0.43,6.41,,
2016-05,-7.24,3.3,,
2016-06,10.1,2.21,,
2016-07,6.34,3.11,-7.77,0.709
2016-08,-28.56,3.38,-17.23,-5.674
2016-09,-50.7,1.63,-59.81,4.255
2016-10,-16.11,-1.46,-19.7,-23.239
2016-11,15.12,-1.6,44.64,-25.524
2016-12,-1.7,-0.03,39.41,-16.838
2017-01,-5.11,4.76,-25.01,22.148
2017-02,-7.17,1.92,-23.76,25.168
2017-03,-23.63,1.61,35.71,16.667
2017-04,0.04,-0.64,9.76,-4.636
2017-05,-1.22,2.76,-36.03,31.25
2017-06,-23.73,5.11,-21.2,39.55
2017-07,-49.55,0.91,-18.97,-4.43
2017-08,28.0,-0.1,31.56,-17.925
2017-09,-22.31,2.73,-17.68,19.749
2017-10,2.61,4.0,-12.08,-31.153
2017-11,-0.19,12.62,8.02,34.365
2017-12,-38.01,3.55,-41.39,0.0
2018-01,-96.73,12.06,-68.89,17.221
2018-02,-6.19,1.3,-25.01,-25.826
2018-03,4.04,4.31,-16.48,-0.297
2018-04,28.74,-11.18,7.14,-33.432
2018-05,26.59,-7.82,5.97,-34.311
2018-06,4.45,-1.08,3.88,-11.953
2018-07,12.03,-0.46,44.64,-11.594
2018-08,37.96,3.41,116.6,10.315
2018-09,-20.43,2.75,-24.34,48.433
