year,indicator,value,source_code
2022,broad_money_pct_gdp,136.255601802475,FM.LBL.BMNY.GD.ZS
2021,broad_money_pct_gdp,146.157951321812,FM.LBL.BMNY.GD.ZS
2020,broad_money_pct_gdp,140.60368022862,FM.LBL.BMNY.GD.ZS
2019,broad_money_pct_gdp,129.147672762315,FM.LBL.BMNY.GD.ZS
2018,broad_money_pct_gdp,124.986986384995,FM.LBL.BMNY.GD.ZS
2017,broad_money_pct_gdp,123.505308979579,FM.LBL.BMNY.GD.ZS
2016,broad_money_pct_gdp,120.640293793796,FM.LBL.BMNY.GD.ZS
2015,broad_money_pct_gdp,111.174659759175,FM.LBL.BMNY.GD.ZS
2014,broad_money_pct_gdp,101.733990237778,FM.LBL.BMNY.GD.ZS
2013,broad_money_pct_gdp,93.7627042859535,FM.LBL.BMNY.GD.ZS
2012,broad_money_pct_gdp,84.8164706968756,FM.LBL.BMNY.GD.ZS
2011,broad_money_pct_gdp,78.372150336306,FM.LBL.BMNY.GD.ZS
2010,broad_money_pct_gdp,90.4544561577953,FM.LBL.BMNY.GD.ZS
2009,broad_money_pct_gdp,105.606938068672,FM.LBL.BMNY.GD.ZS
2008,broad_money_pct_gdp,93.6571699337952,FM.LBL.BMNY.GD.ZS
2007,broad_money_pct_gdp,100.579772836829,FM.LBL.BMNY.GD.ZS
2006,broad_money_pct_gdp,79.2236673213605,FM.LBL.BMNY.GD.ZS
2005,broad_money_pct_gdp,70.9598496062915,FM.LBL.BMNY.GD.ZS
2004,broad_money_pct_gdp,69.263585984759,FM.LBL.BMNY.GD.ZS
2003,broad_money_pct_gdp,61.6291652199145,FM.LBL.BMNY.GD.ZS
2002,broad_money_pct_gdp,53.0355456340689,FM.LBL.BMNY.GD.ZS
2001,broad_money_pct_gdp,52.1189083618155,FM.LBL.BMNY.GD.ZS
2000,broad_money_pct_gdp,44.6045928186828,FM.LBL.BMNY.GD.ZS
1999,broad_money_pct_gdp,36.372758800026,FM.LBL.BMNY.GD.ZS
1998,broad_money_pct_gdp,24.2079289894936,FM.LBL.BMNY.GD.ZS
1997,broad_money_pct_gdp,22.5073100506022,FM.LBL.BMNY.GD.ZS
1996,broad_money_pct_gdp,20.7100619035716,FM.LBL.BMNY.GD.ZS
1995,broad_money_pct_gdp,19.5664889991787,FM.LBL.BMNY.GD.ZS
1993,broad_money_pct_gdp,20.0745540361334,FM.LBL.BMNY.GD.ZS
1992,broad_money_pct_gdp,22.5075281366482,FM.LBL.BMNY.GD.ZS
2022,broad_money_lcu,1.31096580749947e+16,FM.LBL.BMNY.CN
2021,broad_money_lcu,1.24051204558987e+16,FM.LBL.BMNY.CN
2020,broad_money_lcu,1.13107023881659e+16,FM.LBL.BMNY.CN
2019,broad_money_lcu,9953669809665410.0,FM.LBL.BMNY.CN
2018,broad_money_lcu,8760390532741640.0,FM.LBL.BMNY.CN
2017,broad_money_lcu,7773306261357280.0,FM.LBL.BMNY.CN
2016,broad_money_lcu,6803389934610270.0,FM.LBL.BMNY.CN
2015,broad_money_lcu,5771436493824790.0,FM.LBL.BMNY.CN
2014,broad_money_lcu,5022639327367210.0,FM.LBL.BMNY.CN
2013,broad_money_lcu,4194620471000000.0,FM.LBL.BMNY.CN
2012,broad_money_lcu,3455221398958220.0,FM.LBL.BMNY.CN
2011,broad_money_lcu,2774281102000000.0,FM.LBL.BMNY.CN
2010,broad_money_lcu,2478310239000000.0,FM.LBL.BMNY.CN
2009,broad_money_lcu,1910586864000000.0,FM.LBL.BMNY.CN
2008,broad_money_lcu,1513543885000000.0,FM.LBL.BMNY.CN
2007,broad_money_lcu,1253997428000000.0,FM.LBL.BMNY.CN
2006,broad_money_lcu,841010724000000.0,FM.LBL.BMNY.CN
2005,broad_money_lcu,648573735000000.0,FM.LBL.BMNY.CN
2004,broad_money_lcu,495447279000000.0,FM.LBL.BMNY.CN
2003,broad_money_lcu,378059800000000.0,FM.LBL.BMNY.CN
2002,broad_money_lcu,284144300000000.0,FM.LBL.BMNY.CN
2001,broad_money_lcu,250845700000000.0,FM.LBL.BMNY.CN
2000,broad_money_lcu,196994400000000.0,FM.LBL.BMNY.CN
1999,broad_money_lcu,145469939000000.0,FM.LBL.BMNY.CN
1998,broad_money_lcu,87394739000000.0,FM.LBL.BMNY.CN
1997,broad_money_lcu,70588101000000.0,FM.LBL.BMNY.CN
1996,broad_money_lcu,56338824000000.0,FM.LBL.BMNY.CN
1995,broad_money_lcu,44786128000000.0,FM.LBL.BMNY.CN
1993,broad_money_lcu,28156168000000.0,FM.LBL.BMNY.CN
1992,broad_money_lcu,24878021000000.0,FM.LBL.BMNY.CN
2025,total_reserves_usd,85580367980.9694,FI.RES.TOTL.CD
2024,total_reserves_usd,83081854928.1161,FI.RES.TOTL.CD
2023,total_reserves_usd,92237540812.2468,FI.RES.TOTL.CD
2022,total_reserves_usd,86539530966.6451,FI.RES.TOTL.CD
2021,total_reserves_usd,109371353442.833,FI.RES.TOTL.CD
2020,total_reserves_usd,94833616150.4504,FI.RES.TOTL.CD
2019,total_reserves_usd,78334835182.609,FI.RES.TOTL.CD
2018,total_reserves_usd,55452622582.5609,FI.RES.TOTL.CD
2017,total_reserves_usd,49075567812.4586,FI.RES.TOTL.CD
2016,total_reserves_usd,36527291044.3307,FI.RES.TOTL.CD
2015,total_reserves_usd,28250254960.181,FI.RES.TOTL.CD
2014,total_reserves_usd,34189368832.6688,FI.RES.TOTL.CD
2013,total_reserves_usd,25893489673.0736,FI.RES.TOTL.CD
2012,total_reserves_usd,25573282232.2766,FI.RES.TOTL.CD
2011,total_reserves_usd,13539119001.0033,FI.RES.TOTL.CD
2010,total_reserves_usd,12466600610.9074,FI.RES.TOTL.CD
2009,total_reserves_usd,16447104123.628,FI.RES.TOTL.CD
2008,total_reserves_usd,23890250550.2909,FI.RES.TOTL.CD
2007,total_reserves_usd,23479392779.8197,FI.RES.TOTL.CD
2006,total_reserves_usd,13384067982.157,FI.RES.TOTL.CD
2005,total_reserves_usd,9050561631.2151,FI.RES.TOTL.CD
2004,total_reserves_usd,7041460609.52428,FI.RES.TOTL.CD
2003,total_reserves_usd,6224181087.75992,FI.RES.TOTL.CD
2002,total_reserves_usd,4121051660.52162,FI.RES.TOTL.CD
2001,total_reserves_usd,3674565622.65934,FI.RES.TOTL.CD
2000,total_reserves_usd,3416511105.0847,FI.RES.TOTL.CD
1999,total_reserves_usd,3326147673.21608,FI.RES.TOTL.CD
1998,total_reserves_usd,2002261884.51771,FI.RES.TOTL.CD
1997,total_reserves_usd,1985854205.99896,FI.RES.TOTL.CD
1996,total_reserves_usd,1735897756.92245,FI.RES.TOTL.CD
1995,total_reserves_usd,1323681930.28787,FI.RES.TOTL.CD
2025,gdp_current_usd,514697215165.065,NY.GDP.MKTP.CD
2024,gdp_current_usd,476324572783.807,NY.GDP.MKTP.CD
2023,gdp_current_usd,433805036898.465,NY.GDP.MKTP.CD
2022,gdp_current_usd,413445230668.578,NY.GDP.MKTP.CD
2021,gdp_current_usd,366474752771.009,NY.GDP.MKTP.CD
2020,gdp_current_usd,346615738537.796,NY.GDP.MKTP.CD
2019,gdp_current_usd,334365270496.667,NY.GDP.MKTP.CD
2018,gdp_current_usd,310106478394.659,NY.GDP.MKTP.CD
2017,gdp_current_usd,281353605986.903,NY.GDP.MKTP.CD
2016,gdp_current_usd,257096001177.982,NY.GDP.MKTP.CD
2015,gdp_current_usd,239258328381.741,NY.GDP.MKTP.CD
2014,gdp_current_usd,233451469642.519,NY.GDP.MKTP.CD
2013,gdp_current_usd,213708811665.34,NY.GDP.MKTP.CD
2012,gdp_current_usd,195590661129.249,NY.GDP.MKTP.CD
2011,gdp_current_usd,172595049183.925,NY.GDP.MKTP.CD
2010,gdp_current_usd,147201173196.979,NY.GDP.MKTP.CD
2009,gdp_current_usd,106014659565.214,NY.GDP.MKTP.CD
2008,gdp_current_usd,99130304099.1274,NY.GDP.MKTP.CD
2007,gdp_current_usd,77414425532.2452,NY.GDP.MKTP.CD
2006,gdp_current_usd,66371664817.0436,NY.GDP.MKTP.CD
2005,gdp_current_usd,57633255738.1992,NY.GDP.MKTP.CD
2004,gdp_current_usd,45427854693.2554,NY.GDP.MKTP.CD
2003,gdp_current_usd,39552513231.9169,NY.GDP.MKTP.CD
2002,gdp_current_usd,35064105500.8344,NY.GDP.MKTP.CD
2001,gdp_current_usd,32685198808.5549,NY.GDP.MKTP.CD
2000,gdp_current_usd,31172518403.3162,NY.GDP.MKTP.CD
1999,gdp_current_usd,28683659006.7752,NY.GDP.MKTP.CD
1998,gdp_current_usd,27209602050.0452,NY.GDP.MKTP.CD
1997,gdp_current_usd,26843700441.5482,NY.GDP.MKTP.CD
1996,gdp_current_usd,24657470574.7501,NY.GDP.MKTP.CD
1995,gdp_current_usd,20736164458.9505,NY.GDP.MKTP.CD
1994,gdp_current_usd,16286433533.3228,NY.GDP.MKTP.CD
1993,gdp_current_usd,13180953598.1716,NY.GDP.MKTP.CD
1992,gdp_current_usd,9866990236.43587,NY.GDP.MKTP.CD
1991,gdp_current_usd,9613369520.41885,NY.GDP.MKTP.CD
1990,gdp_current_usd,6471740805.56984,NY.GDP.MKTP.CD
2025,gdp_growth_pct,8.01882998978245,NY.GDP.MKTP.KD.ZG
2024,gdp_growth_pct,7.03955197123018,NY.GDP.MKTP.KD.ZG
2023,gdp_growth_pct,4.97865959483225,NY.GDP.MKTP.KD.ZG
2022,gdp_growth_pct,8.53750041218142,NY.GDP.MKTP.KD.ZG
2021,gdp_growth_pct,2.55372852648131,NY.GDP.MKTP.KD.ZG
2020,gdp_growth_pct,2.86541320912272,NY.GDP.MKTP.KD.ZG
2019,gdp_growth_pct,7.35926270105006,NY.GDP.MKTP.KD.ZG
2018,gdp_growth_pct,7.46500685572751,NY.GDP.MKTP.KD.ZG
2017,gdp_growth_pct,6.94019037359206,NY.GDP.MKTP.KD.ZG
2016,gdp_growth_pct,6.69000892660424,NY.GDP.MKTP.KD.ZG
2015,gdp_growth_pct,6.98715430598611,NY.GDP.MKTP.KD.ZG
2014,gdp_growth_pct,6.42224312118567,NY.GDP.MKTP.KD.ZG
2013,gdp_growth_pct,5.55351081026072,NY.GDP.MKTP.KD.ZG
2012,gdp_growth_pct,5.5045447041189,NY.GDP.MKTP.KD.ZG
2011,gdp_growth_pct,6.41316889681683,NY.GDP.MKTP.KD.ZG
2010,gdp_growth_pct,6.42324482239482,NY.GDP.MKTP.KD.ZG
2009,gdp_growth_pct,5.39789754014181,NY.GDP.MKTP.KD.ZG
2008,gdp_growth_pct,5.66177120891362,NY.GDP.MKTP.KD.ZG
2007,gdp_growth_pct,7.12950448605439,NY.GDP.MKTP.KD.ZG
2006,gdp_growth_pct,6.97795481056711,NY.GDP.MKTP.KD.ZG
2005,gdp_growth_pct,7.54724772895918,NY.GDP.MKTP.KD.ZG
2004,gdp_growth_pct,7.53641060890386,NY.GDP.MKTP.KD.ZG
2003,gdp_growth_pct,6.89906349055258,NY.GDP.MKTP.KD.ZG
2002,gdp_growth_pct,6.32082099160833,NY.GDP.MKTP.KD.ZG
2001,gdp_growth_pct,6.19289331233377,NY.GDP.MKTP.KD.ZG
2000,gdp_growth_pct,6.78731640463151,NY.GDP.MKTP.KD.ZG
1999,gdp_growth_pct,4.77358688344989,NY.GDP.MKTP.KD.ZG
1998,gdp_growth_pct,5.76445545848843,NY.GDP.MKTP.KD.ZG
1997,gdp_growth_pct,8.1520841433542,NY.GDP.MKTP.KD.ZG
1996,gdp_growth_pct,9.34001749939179,NY.GDP.MKTP.KD.ZG
1995,gdp_growth_pct,9.54048017491264,NY.GDP.MKTP.KD.ZG
1994,gdp_growth_pct,8.83898095245374,NY.GDP.MKTP.KD.ZG
1993,gdp_growth_pct,8.07273065739605,NY.GDP.MKTP.KD.ZG
1992,gdp_growth_pct,8.64604745934572,NY.GDP.MKTP.KD.ZG
1991,gdp_growth_pct,5.96084393218912,NY.GDP.MKTP.KD.ZG
1990,gdp_growth_pct,5.10091813908369,NY.GDP.MKTP.KD.ZG
2025,inflation_cpi_yoy_pct,3.3099931421974,FP.CPI.TOTL.ZG
2024,inflation_cpi_yoy_pct,3.62109273885844,FP.CPI.TOTL.ZG
2023,inflation_cpi_yoy_pct,3.25289282667662,FP.CPI.TOTL.ZG
2022,inflation_cpi_yoy_pct,3.15650749963112,FP.CPI.TOTL.ZG
2021,inflation_cpi_yoy_pct,1.83471554810462,FP.CPI.TOTL.ZG
2020,inflation_cpi_yoy_pct,3.22093436652515,FP.CPI.TOTL.ZG
2019,inflation_cpi_yoy_pct,2.79582367452244,FP.CPI.TOTL.ZG
2018,inflation_cpi_yoy_pct,3.53962805942641,FP.CPI.TOTL.ZG
2017,inflation_cpi_yoy_pct,3.52025688811618,FP.CPI.TOTL.ZG
2016,inflation_cpi_yoy_pct,2.66824816969082,FP.CPI.TOTL.ZG
2015,inflation_cpi_yoy_pct,0.631200905175685,FP.CPI.TOTL.ZG
2014,inflation_cpi_yoy_pct,4.08455446637625,FP.CPI.TOTL.ZG
2013,inflation_cpi_yoy_pct,6.59267475899192,FP.CPI.TOTL.ZG
2012,inflation_cpi_yoy_pct,9.09470339557193,FP.CPI.TOTL.ZG
2011,inflation_cpi_yoy_pct,18.6777322770706,FP.CPI.TOTL.ZG
2010,inflation_cpi_yoy_pct,9.20746648778413,FP.CPI.TOTL.ZG
2009,inflation_cpi_yoy_pct,6.71698269988631,FP.CPI.TOTL.ZG
